Team,Home.Ground
Kolkata Knight Riders,Eden Gardens
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Wankhede Stadium
Deccan Chargers,Barabati Stadium
Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Feroz Shah Kotla
Kochi Tuskers Kerala,Nehru Stadium
Pune Warriors,Dr DY Patil Sports Academy
Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Rising Pune Supergiants,Dr DY Patil Sports Academy
Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,"Sardar Patel Stadium, Motera"
Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha"
Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Kochi Tuskers Kerala,Holkar Cricket Stadium
Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Pune Warriors,Subrata Roy Sahara Stadium
Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
Chennai Super Kings,JSCA International Stadium Complex
Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Gujarat Lions,Saurashtra Cricket Association Stadium
Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Brabourne Stadium
Gujarat Lions,Green Park
Rising Pune Supergiants,Maharashtra Cricket Association Stadium
Royal Challengers Bangalore,Maharashtra Cricket Association Stadium
Kings XI Punjab,Maharashtra Cricket Association Stadium
